entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:34:27.083Z,22.9,idle,,,25
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:34:27.449Z,22.9,idle,,,24.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:34:42.439Z,22.9,idle,,,25
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:35:43.073Z,22.9,idle,,,24.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:37:42.538Z,22.7,idle,,,24.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:37:57.880Z,22.7,idle,,,25
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:38:58.503Z,22.7,idle,,,24.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:41:13.704Z,22.8,idle,,,24.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:41:29.050Z,22.8,idle,,,25
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:42:29.673Z,22.8,idle,,,24.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:42:44.078Z,23,idle,,,24.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:42:59.425Z,23,idle,,,25
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:47:45.223Z,23.1,idle,,,25
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:48:00.578Z,23.1,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:49:01.204Z,23.1,idle,,,25
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:49:15.728Z,23.3,idle,,,25
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:49:31.079Z,23.3,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:50:31.710Z,23.3,idle,,,25
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:50:46.075Z,23.4,idle,,,25
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:51:01.426Z,23.4,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:51:46.320Z,23.5,idle,,,25.5
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:52:02.056Z,23.5,idle,,,25
climate.furdoszoba_termosztat_meross_lan,heat,2025-12-04T09:55:17.180Z,23.6,idle,,,25
